match_idx,round,home,away,round_window_start,round_window_end,round_window_slot_count,feasible_slot_count,caf_filter_relaxed_for_repair
245,28,HAR,ENP,2027-02-18,2027-02-22,10,837,False
246,28,SMO,ZED,2027-02-18,2027-02-22,10,837,False
247,28,GOU,MAH,2027-02-18,2027-02-22,10,837,False
248,28,PYR,AHL,2027-02-18,2027-02-22,10,527,False
249,28,MAS,PHA,2027-02-18,2027-02-22,10,522,False
250,28,MOD,ISM,2027-02-18,2027-02-22,10,837,False
251,28,CER,TLG,2027-02-18,2027-02-22,10,837,False
252,29,ZAM,BNK,2027-02-23,2027-02-27,10,525,False
253,29,PET,ENP,2027-02-23,2027-02-27,10,837,False
254,29,ITH,ZED,2027-02-23,2027-02-27,10,837,False
255,29,HAR,MAH,2027-02-23,2027-02-27,10,837,False
256,29,AHL,SMO,2027-02-23,2027-02-27,10,534,False
257,29,GOU,PHA,2027-02-23,2027-02-27,10,837,False
258,29,ISM,PYR,2027-02-23,2027-02-27,10,530,False
259,29,MAS,CER,2027-02-23,2027-02-27,10,522,False
260,29,TLG,MOD,2027-02-23,2027-02-27,10,837,False
261,30,ENP,BNK,2027-02-28,2027-03-04,10,837,False
262,30,ZED,ZAM,2027-02-28,2027-03-04,10,525,False
263,30,MAH,PET,2027-02-28,2027-03-04,10,837,False
264,30,AHL,ITH,2027-02-28,2027-03-04,10,534,False
265,30,PHA,HAR,2027-02-28,2027-03-04,10,837,False
266,30,SMO,ISM,2027-02-28,2027-03-04,10,837,False
267,30,CER,GOU,2027-02-28,2027-03-04,10,837,False
268,30,PYR,TLG,2027-02-28,2027-03-04,10,530,False
269,30,MOD,MAS,2027-02-28,2027-03-04,10,522,False
270,31,BNK,ZED,2027-03-05,2027-03-09,12,837,False
271,31,MAH,ENP,2027-03-05,2027-03-09,12,837,False
272,31,ZAM,AHL,2027-03-05,2027-03-09,12,502,False
273,31,PHA,PET,2027-03-05,2027-03-09,12,837,False
274,31,ITH,ISM,2027-03-05,2027-03-09,12,837,False
275,31,CER,HAR,2027-03-05,2027-03-09,12,837,False
276,31,TLG,SMO,2027-03-05,2027-03-09,12,837,False
277,31,MOD,GOU,2027-03-05,2027-03-09,12,837,False
278,31,PYR,MAS,2027-03-05,2027-03-09,12,502,False
279,32,BNK,MAH,2027-03-10,2027-03-14,20,837,False
280,32,ZED,AHL,2027-03-10,2027-03-14,20,534,False
281,32,ENP,PHA,2027-03-10,2027-03-14,20,837,False
282,32,ISM,ZAM,2027-03-10,2027-03-14,20,525,False
283,32,PET,CER,2027-03-10,2027-03-14,20,837,False
284,32,TLG,ITH,2027-03-10,2027-03-14,20,837,False
285,32,HAR,MOD,2027-03-10,2027-03-14,20,837,False
286,32,MAS,SMO,2027-03-10,2027-03-14,20,522,False
287,32,GOU,PYR,2027-03-10,2027-03-14,20,530,False
288,33,AHL,BNK,2027-04-06,2027-04-10,15,534,False
289,33,PHA,MAH,2027-04-06,2027-04-10,15,837,False
290,33,ZED,ISM,2027-04-06,2027-04-10,15,837,False
291,33,CER,ENP,2027-04-06,2027-04-10,15,837,False
292,33,ZAM,TLG,2027-04-06,2027-04-10,15,525,False
293,33,MOD,PET,2027-04-06,2027-04-10,15,837,False
294,33,ITH,MAS,2027-04-06,2027-04-10,15,522,False
295,33,PYR,HAR,2027-04-06,2027-04-10,15,530,False
296,33,SMO,GOU,2027-04-06,2027-04-10,15,837,False
297,34,BNK,PHA,2027-04-11,2027-04-15,15,837,False
298,34,ISM,AHL,2027-04-11,2027-04-15,15,534,False
299,34,MAH,CER,2027-04-11,2027-04-15,15,837,False
300,34,TLG,ZED,2027-04-11,2027-04-15,15,837,False
301,34,ENP,MOD,2027-04-11,2027-04-15,15,837,False
302,34,MAS,ZAM,2027-04-11,2027-04-15,15,519,False
303,34,PET,PYR,2027-04-11,2027-04-15,15,530,False
304,34,GOU,ITH,2027-04-11,2027-04-15,15,837,False
305,34,HAR,SMO,2027-04-11,2027-04-15,15,837,False
